Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
3.010299957,n_x_0,n_p_0,148,"[1, 3, 5, 8]","[2, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,149,"[2, 3, 5, 8]","[1, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,150,"[1, 2, 3, 5, 8]","[4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0+n_x_2,n_p_0+n_p_7,151,"[4, 5, 8]","[1, 2, 3, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,152,"[1, 4, 5, 8]","[2, 3, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,153,"[2, 4, 5, 8]","[1, 3, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,154,"[1, 2, 4, 5, 8]","[3, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,155,"[3, 4, 5, 8]","[1, 2, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,156,"[1, 3, 4, 5, 8]","[2, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,157,"[2, 3, 4, 5, 8]","[1, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,158,"[1, 2, 3, 4, 5, 8]","[6, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_1+n_x_2,n_p_0+n_p_20,159,"[6, 8]","[1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0+n_x_1,n_p_0+n_p_20,160,"[1, 6, 8]","[2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0+n_x_1,n_p_0+n_p_20,161,"[2, 6, 8]","[1, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,162,"[1, 2, 6, 8]","[3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0+n_x_2,n_p_0+n_p_20,163,"[3, 6, 8]","[1, 2, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,164,"[1, 3, 6, 8]","[2, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,165,"[2, 3, 6, 8]","[1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,166,"[1, 2, 3, 6, 8]","[4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0+n_x_2,n_p_0+n_p_20,167,"[4, 6, 8]","[1, 2, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,168,"[1, 4, 6, 8]","[2, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,169,"[2, 4, 6, 8]","[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,170,"[1, 2, 4, 6, 8]","[3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,171,"[3, 4, 6, 8]","[1, 2, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,172,"[1, 3, 4, 6, 8]","[2, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,173,"[2, 3, 4, 6, 8]","[1, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,174,"[1, 2, 3, 4, 6, 8]","[5, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_2,n_p_0-n_p_6,175,"[5, 6, 8]","[1, 2, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,176,"[1, 5, 6, 8]","[2, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,177,"[2, 5, 6, 8]","[1, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,178,"[1, 2, 5, 6, 8]","[3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,179,"[3, 5, 6, 8]","[1, 2, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,180,"[1, 3, 5, 6, 8]","[2, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,181,"[2, 3, 5, 6, 8]","[1, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,182,"[1, 2, 3, 5, 6, 8]","[4, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,183,"[4, 5, 6, 8]","[1, 2, 3, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,184,"[1, 4, 5, 6, 8]","[2, 3, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,185,"[2, 4, 5, 6, 8]","[1, 3, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,186,"[1, 2, 4, 5, 6, 8]","[3, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,187,"[3, 4, 5, 6, 8]","[1, 2, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,188,"[1, 3, 4, 5, 6, 8]","[2, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,189,"[2, 3, 4, 5, 6, 8]","[1, 7, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,190,"[1, 2, 3, 4, 5, 6, 8]","[7, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_1,n_p_0+n_p_6,191,"[7, 8]","[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_1,n_p_0+n_p_6,192,"[1, 7, 8]","[2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_1,n_p_0+n_p_6,193,"[2, 7, 8]","[1, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,194,"[1, 2, 7, 8]","[3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_1,n_p_0+n_p_6,195,"[3, 7, 8]","[1, 2, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,196,"[1, 3, 7, 8]","[2, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,197,"[2, 3, 7, 8]","[1, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,198,"[1, 2, 3, 7, 8]","[4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_1,n_p_0+n_p_6,199,"[4, 7, 8]","[1, 2, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,200,"[1, 4, 7, 8]","[2, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,201,"[2, 4, 7, 8]","[1, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,202,"[1, 2, 4, 7, 8]","[3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,203,"[3, 4, 7, 8]","[1, 2, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,204,"[1, 3, 4, 7, 8]","[2, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,205,"[2, 3, 4, 7, 8]","[1, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,206,"[1, 2, 3, 4, 7, 8]","[5, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_1,n_p_0+n_p_6,207,"[5, 7, 8]","[1, 2, 3, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,208,"[1, 5, 7, 8]","[2, 3, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,209,"[2, 5, 7, 8]","[1, 3, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,210,"[1, 2, 5, 7, 8]","[3, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,211,"[3, 5, 7, 8]","[1, 2, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,212,"[1, 3, 5, 7, 8]","[2, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,213,"[2, 3, 5, 7, 8]","[1, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,214,"[1, 2, 3, 5, 7, 8]","[4, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,215,"[4, 5, 7, 8]","[1, 2, 3, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,216,"[1, 4, 5, 7, 8]","[2, 3, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,217,"[2, 4, 5, 7, 8]","[1, 3, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,218,"[1, 2, 4, 5, 7, 8]","[3, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,219,"[3, 4, 5, 7, 8]","[1, 2, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,220,"[1, 3, 4, 5, 7, 8]","[2, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,221,"[2, 3, 4, 5, 7, 8]","[1, 6, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,222,"[1, 2, 3, 4, 5, 7, 8]","[6, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_1,n_p_0+n_p_6,223,"[6, 7, 8]","[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,224,"[1, 6, 7, 8]","[2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,225,"[2, 6, 7, 8]","[1, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,226,"[1, 2, 6, 7, 8]","[3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,227,"[3, 6, 7, 8]","[1, 2, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,228,"[1, 3, 6, 7, 8]","[2, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,229,"[2, 3, 6, 7, 8]","[1, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,230,"[1, 2, 3, 6, 7, 8]","[4, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,231,"[4, 6, 7, 8]","[1, 2, 3, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,232,"[1, 4, 6, 7, 8]","[2, 3, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,233,"[2, 4, 6, 7, 8]","[1, 3, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,234,"[1, 2, 4, 6, 7, 8]","[3, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,235,"[3, 4, 6, 7, 8]","[1, 2, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,236,"[1, 3, 4, 6, 7, 8]","[2, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,237,"[2, 3, 4, 6, 7, 8]","[1, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,238,"[1, 2, 3, 4, 6, 7, 8]","[5, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,239,"[5, 6, 7, 8]","[1, 2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,240,"[1, 5, 6, 7, 8]","[2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,241,"[2, 5, 6, 7, 8]","[1, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,242,"[1, 2, 5, 6, 7, 8]","[3, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,243,"[3, 5, 6, 7, 8]","[1, 2, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,244,"[1, 3, 5, 6, 7, 8]","[2, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,245,"[2, 3, 5, 6, 7, 8]","[1, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,246,"[1, 2, 3, 5, 6, 7, 8]","[4, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,247,"[4, 5, 6, 7, 8]","[1, 2, 3, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,248,"[1, 4, 5, 6, 7, 8]","[2, 3, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,249,"[2, 4, 5, 6, 7, 8]","[1, 3, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,250,"[1, 2, 4, 5, 6, 7, 8]","[3, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,251,"[3, 4, 5, 6, 7, 8]","[1, 2, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,252,"[1, 3, 4, 5, 6, 7, 8]","[2, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,253,"[2, 3, 4, 5, 6, 7, 8]","[1, 9, 10, 11, 12, 13, 14, 15, 16]"
0,n_x_0,n_p_0,254,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 10, 11, 12, 13, 14, 15, 16]"
4.259687323,n_x_0-n_x_1+n_x_8+n_x_25+n_x_4,n_p_0+n_p_6+n_p_19,7,[4],"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2-n_p_4,256,"[1, 9]","[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2+n_p_8,257,"[2, 9]","[1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_6,n_p_2-n_p_0,258,"[1, 2, 9]","[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
4.259687323,n_x_0+n_x_2-n_x_7+n_x_22+n_x_3,n_p_0-n_p_6+n_p_20,31,[6],"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2-n_p_4,260,"[1, 3, 9]","[2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0+n_x_5,n_p_8+n_p_2,261,"[2, 3, 9]","[1, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0+n_x_5,n_p_2+n_p_8,262,"[1, 2, 3, 9]","[4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
4.259687323,n_x_0-n_x_2-n_x_4-n_x_8-n_x_25,n_p_0-n_p_6+n_p_19,1,[2],"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2-n_p_4,264,"[1, 4, 9]","[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_6+n_x_5,n_p_2+n_p_8,265,"[2, 4, 9]","[1, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0+n_x_6,n_p_2-n_p_0,266,"[1, 2, 4, 9]","[3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_6,n_p_1-n_p_0,267,"[3, 4, 9]","[1, 2, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0+n_p_6,268,"[1, 3, 4, 9]","[2, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0+n_p_6,269,"[2, 3, 4, 9]","[1, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0-n_x_1,n_p_0-n_p_2,270,"[1, 2, 3, 4, 9]","[5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
6.020599913,n_x_0-n_x_6,n_p_1-n_p_25,263,"[4, 9]","[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_6,n_p_4+n_p_0+n_p_7,272,"[1, 5, 9]","[2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_8+n_x_7,n_p_6-n_p_0,273,"[2, 5, 9]","[1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0-n_x_2,n_p_6-n_p_0,274,"[1, 2, 5, 9]","[3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.881801714,n_x_0-n_x_1-n_x_11+n_x_2-n_x_12+n_x_6,n_p_8-n_p_0-n_p_5-n_p_7+n_p_20,275,"[3, 5, 9]","[1, 2, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_1-n_x_2,n_p_0-n_p_19,276,"[1, 3, 5, 9]","[2, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_8-n_p_0,277,"[2, 3, 5, 9]","[1, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0-n_p_8,278,"[1, 2, 3, 5, 9]","[4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
6.020599913,n_x_0+n_x_5,n_p_4-n_p_8,271,"[5, 9]","[1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_2-n_x_1,n_p_0+n_p_8,280,"[1, 4, 5, 9]","[2, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_1-n_x_2,n_p_0+n_p_19,281,"[2, 4, 5, 9]","[1, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0-n_x_2,n_p_0-n_p_6,282,"[1, 2, 4, 5, 9]","[3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0+n_p_6,283,"[3, 4, 5, 9]","[1, 2, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0+n_p_4,284,"[1, 3, 4, 5, 9]","[2, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0+n_p_6,285,"[2, 3, 4, 5, 9]","[1, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,286,"[1, 2, 3, 4, 5, 9]","[6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
4.259687323,n_x_0+n_x_2-n_x_4+n_x_8-n_x_25,n_p_0-n_p_5-n_p_17,255,[9],"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_6,n_p_4+n_p_0-n_p_7,288,"[1, 6, 9]","[2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_8-n_x_7,n_p_6-n_p_0,289,"[2, 6, 9]","[1, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0-n_x_2,n_p_6-n_p_0,290,"[1, 2, 6, 9]","[3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.881801714,n_x_0-n_x_1-n_x_11+n_x_2-n_x_12+n_x_6,n_p_8-n_p_0-n_p_5+n_p_7-n_p_20,291,"[3, 6, 9]","[1, 2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_1-n_x_2,n_p_0-n_p_19,292,"[1, 3, 6, 9]","[2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_8-n_p_0,293,"[2, 3, 6, 9]","[1, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0-n_p_8,294,"[1, 2, 3, 6, 9]","[4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
